Date,team,opponent,team_rank,opponent_rank,year,month,day,Expected,defensive_completion_%,defensive_red_zone_completion_%,defensive_sack_percentage,defensive_takeaways,defensive_third_down_conversion_%,defensive_yards_per_game_allowed,offensive_completion_percentage,offensive_interceptions,touchdowns_per_game,offensive_yards_per_game,offensive_yards_per_point,red_zone_TD_percentage,scoring_margin,third_down_conversion_percentage,total_points_per_game,weighted_SM
2021-09-12,Tampa Bay,Dallas,2,14,2021,9,12,2.0,72.41%,25.00%,1.69%,1.0,52.94%,451.0,64.00%,2.0,4.0,431.0,13.9,60.00%,2.0,45.45%,31.0,38.0
2021-09-12,Tampa Bay,Dallas,2,14,2021,9,12,2.0,72.41%,25.00%,1.69%,1.0,52.94%,451.0,64.00%,2.0,4.0,431.0,13.9,60.00%,2.0,45.45%,31.0,38.0
2021-09-12,Tampa Bay,Dallas,2,14,2021,9,12,2.0,72.41%,25.00%,1.69%,1.0,52.94%,451.0,64.00%,2.0,4.0,431.0,13.9,60.00%,2.0,45.45%,31.0,38.0
2021-09-12,Tampa Bay,Dallas,2,14,2021,9,12,2.0,72.41%,25.00%,1.69%,1.0,52.94%,451.0,64.00%,2.0,4.0,431.0,13.9,60.00%,2.0,45.45%,31.0,38.0
2021-09-12,Tampa Bay,Dallas,2,14,2021,9,12,2.0,72.41%,25.00%,1.69%,1.0,52.94%,451.0,64.00%,2.0,4.0,431.0,13.9,60.00%,2.0,45.45%,31.0,38.0
2021-09-12,Tampa Bay,Dallas,2,14,2021,9,12,2.0,72.41%,25.00%,1.69%,1.0,52.94%,451.0,64.00%,2.0,4.0,431.0,13.9,60.00%,2.0,45.45%,31.0,38.0
2021-09-12,Tampa Bay,Dallas,2,14,2021,9,12,2.0,72.41%,25.00%,1.69%,1.0,52.94%,451.0,64.00%,2.0,4.0,431.0,13.9,60.00%,2.0,45.45%,31.0,38.0
2021-09-12,Tampa Bay,Dallas,2,14,2021,9,12,2.0,72.41%,25.00%,1.69%,1.0,52.94%,451.0,64.00%,2.0,4.0,431.0,13.9,60.00%,2.0,45.45%,31.0,38.0
2021-09-12,Philadelphia,Atlanta,26,23,2021,9,12,17.0,,,,,,,,,,,,,,,,0.0
2021-09-12,Pittsburgh,Buffalo,15,5,2021,9,12,11.0,,,,,,,,,,,,,,,,0.0
2021-09-12,Carolina,NY Jets,27,30,2021,9,12,24.0,,,,,,,,,,,,,,,,0.0
2021-09-12,Cincinnati,Minnesota,28,17,2021,9,12,27.0,,,,,,,,,,,,,,,,0.0
