Date,team,opponent,team_rank,opponent_rank,year,month,day,Expected,defensive_completion_%,defensive_red_zone_completion_%,defensive_sack_percentage,defensive_takeaways,defensive_third_down_conversion_%,defensive_yards_per_game_allowed,offensive_completion_percentage,offensive_interceptions,touchdowns_per_game,offensive_yards_per_game,offensive_yards_per_point,red_zone_TD_percentage,scoring_margin,third_down_conversion_percentage,total_points_per_game
9/12/2021,Tampa Bay,Dallas,2,14,2021,9,12,2,0.72,0.25,0.02,1.00,0.53,451.00,0.64,2.00,4.00,431.00,13.90,0.60,2.00,0.45,31.00
9/12/2021,Tampa Bay,Dallas,2,14,2021,9,12,2,0.72,0.25,0.02,1.00,0.53,451.00,0.64,2.00,4.00,431.00,13.90,0.60,2.00,0.45,31.00
9/12/2021,Tampa Bay,Dallas,2,14,2021,9,12,2,0.72,0.25,0.02,1.00,0.53,451.00,0.64,2.00,4.00,431.00,13.90,0.60,2.00,0.45,31.00
9/12/2021,Tampa Bay,Dallas,2,14,2021,9,12,2,0.72,0.25,0.02,1.00,0.53,451.00,0.64,2.00,4.00,431.00,13.90,0.60,2.00,0.45,31.00
9/12/2021,Tampa Bay,Dallas,2,14,2021,9,12,2,0.72,0.25,0.02,1.00,0.53,451.00,0.64,2.00,4.00,431.00,13.90,0.60,2.00,0.45,31.00
9/12/2021,Tampa Bay,Dallas,2,14,2021,9,12,2,0.72,0.25,0.02,1.00,0.53,451.00,0.64,2.00,4.00,431.00,13.90,0.60,2.00,0.45,31.00
9/12/2021,Tampa Bay,Dallas,2,14,2021,9,12,2,0.72,0.25,0.02,1.00,0.53,451.00,0.64,2.00,4.00,431.00,13.90,0.60,2.00,0.45,31.00
9/12/2021,Tampa Bay,Dallas,2,14,2021,9,12,2,0.72,0.25,0.02,1.00,0.53,451.00,0.64,2.00,4.00,431.00,13.90,0.60,2.00,0.45,31.00
9/12/2021,Philadelphia,Atlanta,26,23,2021,9,12,17,,,,,,,,,,,,,,,
9/12/2021,Pittsburgh,Buffalo,15,5,2021,9,12,11,,,,,,,,,,,,,,,
9/12/2021,Carolina,NY Jets,27,30,2021,9,12,24,,,,,,,,,,,,,,,
9/12/2021,Cincinnati,Minnesota,28,17,2021,9,12,27,,,,,,,,,,,,,,,
9/12/2021,Seattle,Indianapolis,9,20,2021,9,12,7,,,,,,,,,,,,,,,
9/12/2021,LA Chargers,Washington,12,16,2021,9,12,12,,,,,,,,,,,,,,,
9/12/2021,Arizona,Tennessee,19,13,2021,9,12,9,,,,,,,,,,,,,,,
9/12/2021,Houston,Jacksonville,32,29,2021,9,12,32,,,,,,,,,,,,,,,
9/12/2021,San Francisco,Detroit,8,31,2021,9,12,10,,,,,,,,,,,,,,,
9/12/2021,New Orleans,Green Bay,11,4,2021,9,12,3,,,,,,,,,,,,,,,
9/12/2021,Miami,New England,21,10,2021,9,12,20,,,,,,,,,,,,,,,
9/12/2021,Kansas City,Cleveland,1,6,2021,9,12,1,,,,,,,,,,,,,,,
9/12/2021,Denver,NY Giants,18,25,2021,9,12,13,,,,,,,,,,,,,,,
9/12/2021,LA Rams,Chicago,7,24,2021,9,12,5,,,,,,,,,,,,,,,
9/19/2021,Las Vegas,Baltimore,21,4,2021,9,19,17,0.63,1.00,0.09,2.00,0.25,406.00,0.61,1.00,4.00,491.00,14.90,0.50,6.00,0.47,33.00
9/19/2021,Las Vegas,Baltimore,21,4,2021,9,19,17,0.63,1.00,0.09,2.00,0.25,406.00,0.61,1.00,4.00,491.00,14.90,0.50,6.00,0.47,33.00
9/19/2021,Las Vegas,Baltimore,21,4,2021,9,19,17,0.63,1.00,0.09,2.00,0.25,406.00,0.61,1.00,4.00,491.00,14.90,0.50,6.00,0.47,33.00
9/19/2021,Las Vegas,Baltimore,21,4,2021,9,19,17,0.63,1.00,0.09,2.00,0.25,406.00,0.61,1.00,4.00,491.00,14.90,0.50,6.00,0.47,33.00
9/19/2021,Las Vegas,Baltimore,21,4,2021,9,19,17,0.63,1.00,0.09,2.00,0.25,406.00,0.61,1.00,4.00,491.00,14.90,0.50,6.00,0.47,33.00
9/19/2021,Las Vegas,Baltimore,21,4,2021,9,19,17,0.63,1.00,0.09,2.00,0.25,406.00,0.61,1.00,4.00,491.00,14.90,0.50,6.00,0.47,33.00
9/19/2021,Las Vegas,Baltimore,21,4,2021,9,19,17,0.63,1.00,0.09,2.00,0.25,406.00,0.61,1.00,4.00,491.00,14.90,0.50,6.00,0.47,33.00
9/19/2021,Las Vegas,Baltimore,21,4,2021,9,19,17,0.63,1.00,0.09,2.00,0.25,406.00,0.61,1.00,4.00,491.00,14.90,0.50,6.00,0.47,33.00
