year,month,day,team,completion_percentage
2021,11,21,Arizona,58.62%
2021,11,21,New England,84.62%
2021,11,21,Dallas,80.00%
2021,11,21,Denver,61.11%
2021,11,21,Cincinnati,69.05%
2021,11,21,Minnesota,67.57%
2021,11,21,Las Vegas,71.43%
2021,11,21,Tampa Bay,67.65%
2021,11,21,Seattle,50.00%
2021,11,21,LA Rams,64.29%
2021,11,21,Tennessee,70.37%
2021,11,21,Buffalo,75.00%
2021,11,21,Detroit,56.00%
2021,11,21,Kansas City,70.59%
2021,11,21,Atlanta,62.50%
2021,11,21,Green Bay,62.16%
2021,11,21,Houston,54.55%
2021,11,21,Washington,81.25%
2021,11,21,LA Chargers,58.82%
2021,11,21,Cleveland,57.58%
2021,11,21,NY Giants,75.00%
2021,11,21,Pittsburgh,60.00%
2021,11,21,San Francisco,78.95%
2021,11,21,Miami,52.78%
2021,11,21,Baltimore,60.47%
2021,11,21,Indianapolis,64.71%
2021,11,21,Chicago,58.62%
2021,11,21,Philadelphia,69.57%
2021,11,21,NY Jets,57.45%
2021,11,21,New Orleans,58.33%
2021,11,21,Carolina,75.76%
2021,11,21,Jacksonville,45.71%
2021,11,14,Arizona,85.19%
2021,11,14,Seattle,83.33%
2021,11,14,Denver,67.86%
2021,11,14,Atlanta,76.67%
2021,11,14,New England,66.67%
2021,11,14,Dallas,48.72%
2021,11,14,Cincinnati,69.05%
2021,11,14,Minnesota,60.71%
2021,11,14,LA Rams,64.58%
2021,11,14,Tampa Bay,68.29%
2021,11,14,Las Vegas,65.22%
2021,11,14,Detroit,73.53%
2021,11,14,Tennessee,70.37%
2021,11,14,LA Chargers,84.21%
2021,11,14,Cleveland,66.67%
2021,11,14,Green Bay,55.88%
2021,11,14,Buffalo,65.96%
2021,11,14,Houston,54.55%
2021,11,14,Kansas City,54.05%
2021,11,14,Pittsburgh,70.00%
2021,11,14,NY Giants,75.00%
2021,11,14,Miami,52.78%
2021,11,14,Baltimore,60.47%
2021,11,14,Washington,61.54%
2021,11,14,Indianapolis,73.33%
2021,11,14,San Francisco,70.00%
2021,11,14,NY Jets,65.38%
2021,11,14,Chicago,58.62%
2021,11,14,Philadelphia,64.71%
2021,11,14,Jacksonville,60.71%
2021,11,14,New Orleans,62.79%
2021,11,14,Carolina,48.48%
2021,11,7,Arizona,66.67%
2021,11,7,Dallas,60.98%
2021,11,7,Seattle,83.33%
2021,11,7,Denver,73.08%
2021,11,7,Minnesota,63.89%
2021,11,7,New England,51.43%
2021,11,7,LA Rams,64.71%
2021,11,7,Cincinnati,62.86%
2021,11,7,Atlanta,74.07%
2021,11,7,Las Vegas,91.18%
2021,11,7,Tampa Bay,68.29%
2021,11,7,Houston,74.36%
2021,11,7,Green Bay,59.46%
2021,11,7,Detroit,73.53%
2021,11,7,Kansas City,60.42%
2021,11,7,Cleveland,64.52%
2021,11,7,Tennessee,67.65%
2021,11,7,Miami,53.85%
2021,11,7,Buffalo,67.44%
2021,11,7,Pittsburgh,62.86%
2021,11,7,NY Giants,69.70%
2021,11,7,Baltimore,47.62%
2021,11,7,Washington,61.54%
2021,11,7,LA Chargers,51.43%
2021,11,7,Chicago,70.37%
2021,11,7,Indianapolis,73.33%
2021,11,7,NY Jets,65.38%
2021,11,7,San Francisco,60.71%
2021,11,7,Philadelphia,68.75%
2021,11,7,Jacksonville,59.26%
2021,11,7,New Orleans,56.41%
2021,11,7,Carolina,52.00%
2021,10,31,Dallas,70.59%
2021,10,31,Arizona,66.67%
2021,10,31,New England,68.29%
2021,10,31,Minnesota,68.75%
2021,10,31,Denver,69.70%
2021,10,31,Cincinnati,60.53%
2021,10,31,Seattle,54.55%
2021,10,31,LA Rams,68.29%
2021,10,31,Las Vegas,91.18%
2021,10,31,Kansas City,60.78%
2021,10,31,Tampa Bay,56.41%
2021,10,31,Atlanta,62.50%
2021,10,31,Green Bay,59.46%
2021,10,31,Miami,80.00%
2021,10,31,Houston,71.88%
2021,10,31,Cleveland,63.64%
2021,10,31,Detroit,62.16%
2021,10,31,Tennessee,78.57%
2021,10,31,LA Chargers,56.41%
2021,10,31,Pittsburgh,72.50%
2021,10,31,Buffalo,74.47%
2021,10,31,Baltimore,47.62%
2021,10,31,Washington,67.57%
2021,10,31,Indianapolis,65.38%
2021,10,31,NY Giants,70.59%
2021,10,31,Chicago,68.75%
2021,10,31,San Francisco,59.26%
2021,10,31,Philadelphia,52.94%
2021,10,31,Jacksonville,60.98%
2021,10,31,New Orleans,54.29%
2021,10,31,Carolina,48.72%
2021,10,31,NY Jets,61.90%
2021,10,24,Arizona,66.67%
2021,10,24,Dallas,70.59%
2021,10,24,New England,71.43%
2021,10,24,Cincinnati,66.67%
2021,10,24,Seattle,71.88%
2021,10,24,Minnesota,68.75%
2021,10,24,Denver,69.70%
2021,10,24,Kansas City,68.09%
2021,10,24,Tampa Bay,80.95%
2021,10,24,LA Rams,73.33%
2021,10,24,Atlanta,71.74%
2021,10,24,Baltimore,70.37%
2021,10,24,Green Bay,73.91%
2021,10,24,Detroit,66.67%
2021,10,24,Cleveland,63.64%
2021,10,24,LA Chargers,56.41%
2021,10,24,Pittsburgh,72.50%
2021,10,24,Buffalo,74.47%
2021,10,24,Houston,67.44%
2021,10,24,Miami,70.83%
2021,10,24,Las Vegas,66.67%
2021,10,24,Indianapolis,55.00%
2021,10,24,Tennessee,62.07%
2021,10,24,Washington,61.54%
2021,10,24,NY Giants,56.86%
2021,10,24,Philadelphia,46.15%
2021,10,24,San Francisco,51.72%
2021,10,24,Carolina,41.46%
2021,10,24,New Orleans,50.00%
2021,10,24,Chicago,59.26%
2021,10,24,Jacksonville,60.98%
2021,10,24,NY Jets,59.38%
2021,10,17,Arizona,70.97%
2021,10,17,Dallas,69.70%
2021,10,17,Cincinnati,68.42%
2021,10,17,New England,76.67%
2021,10,17,Seattle,63.64%
2021,10,17,Minnesota,73.53%
2021,10,17,Kansas City,61.11%
2021,10,17,Tampa Bay,80.95%
2021,10,17,Denver,63.16%
2021,10,17,Atlanta,71.74%
2021,10,17,LA Rams,67.57%
2021,10,17,Baltimore,86.05%
