year,month,day,team,defensive_completion_%
2021,11,21,Buffalo,57.45%
2021,11,21,Denver,69.57%
2021,11,21,New England,62.50%
2021,11,21,Minnesota,58.82%
2021,11,21,Baltimore,52.78%
2021,11,21,Tennessee,58.33%
2021,11,21,Dallas,37.04%
2021,11,21,Green Bay,50.00%
2021,11,21,New Orleans,70.37%
2021,11,21,Carolina,58.62%
2021,11,21,Pittsburgh,56.00%
2021,11,21,Cleveland,84.62%
2021,11,21,Miami,60.47%
2021,11,21,Chicago,70.00%
2021,11,21,Seattle,62.16%
2021,11,21,Arizona,75.76%
2021,11,21,LA Chargers,67.57%
2021,11,21,Las Vegas,70.59%
2021,11,21,Houston,60.47%
2021,11,21,Detroit,60.00%
2021,11,21,Indianapolis,45.71%
2021,11,21,Kansas City,71.43%
2021,11,21,Cincinnati,66.67%
2021,11,21,Washington,67.65%
2021,11,21,San Francisco,64.29%
2021,11,21,NY Giants,65.22%
2021,11,21,LA Rams,78.95%
2021,11,21,NY Jets,75.00%
2021,11,21,Tampa Bay,81.25%
2021,11,21,Atlanta,84.62%
2021,11,21,Jacksonville,64.71%
2021,11,21,Philadelphia,61.11%
2021,11,14,Denver,48.72%
2021,11,14,Buffalo,60.71%
2021,11,14,New England,48.48%
2021,11,14,Minnesota,65.85%
2021,11,14,Baltimore,52.78%
2021,11,14,Cleveland,69.05%
2021,11,14,New Orleans,76.67%
2021,11,14,Tennessee,64.58%
2021,11,14,Arizona,70.00%
2021,11,14,Carolina,66.67%
2021,11,14,Miami,60.47%
2021,11,14,Chicago,70.00%
2021,11,14,Pittsburgh,58.62%
2021,11,14,Seattle,59.26%
2021,11,14,Green Bay,54.05%
2021,11,14,Las Vegas,75.00%
2021,11,14,Dallas,67.86%
2021,11,14,LA Chargers,64.71%
2021,11,14,Houston,60.47%
2021,11,14,Kansas City,55.88%
2021,11,14,Washington,73.08%
2021,11,14,Cincinnati,66.67%
2021,11,14,LA Rams,70.37%
2021,11,14,Atlanta,62.79%
2021,11,14,NY Giants,65.22%
2021,11,14,Detroit,68.75%
2021,11,14,Tampa Bay,56.41%
2021,11,14,San Francisco,85.19%
2021,11,14,NY Jets,73.33%
2021,11,14,Indianapolis,65.38%
2021,11,14,Jacksonville,65.96%
2021,11,14,Philadelphia,84.21%
2021,11,7,Buffalo,53.85%
2021,11,7,Denver,61.54%
2021,11,7,New England,51.43%
2021,11,7,New Orleans,68.29%
2021,11,7,Minnesota,60.98%
2021,11,7,Cleveland,62.86%
2021,11,7,Tennessee,52.94%
2021,11,7,Arizona,59.46%
2021,11,7,Baltimore,60.53%
2021,11,7,Carolina,74.07%
2021,11,7,Chicago,60.71%
2021,11,7,Las Vegas,52.94%
2021,11,7,Seattle,59.26%
