year,month,day,team,defensive_sack_percentage
2021,11,21,Minnesota,5.56%
2021,11,21,Carolina,12.12%
2021,11,21,Chicago,11.76%
2021,11,21,Pittsburgh,13.79%
2021,11,21,Cleveland,7.14%
2021,11,21,LA Rams,5.00%
2021,11,21,New England,11.11%
2021,11,21,Denver,8.00%
2021,11,21,Arizona,0.00%
2021,11,21,San Francisco,4.55%
2021,11,21,Green Bay,6.98%
2021,11,21,Tennessee,10.00%
2021,11,21,Cincinnati,8.70%
2021,11,21,Houston,8.51%
2021,11,21,Indianapolis,7.89%
2021,11,21,Las Vegas,0.00%
2021,11,21,NY Jets,6.67%
2021,11,21,Tampa Bay,13.51%
2021,11,21,LA Chargers,5.13%
2021,11,21,New Orleans,6.90%
2021,11,21,Buffalo,2.08%
2021,11,21,Baltimore,10.00%
2021,11,21,Washington,0.00%
2021,11,21,Dallas,6.90%
2021,11,21,NY Giants,2.13%
2021,11,21,Philadelphia,2.70%
2021,11,21,Miami,8.51%
2021,11,21,Jacksonville,2.86%
2021,11,21,Detroit,0.00%
2021,11,21,Kansas City,5.41%
2021,11,21,Seattle,2.63%
2021,11,21,Atlanta,10.34%
2021,11,14,Minnesota,6.82%
2021,11,14,Chicago,11.76%
2021,11,14,Cleveland,10.64%
2021,11,14,Carolina,10.00%
2021,11,14,Pittsburgh,9.38%
2021,11,14,Arizona,11.11%
2021,11,14,LA Rams,10.00%
2021,11,14,Las Vegas,13.04%
2021,11,14,San Francisco,6.90%
2021,11,14,Denver,4.88%
2021,11,14,Green Bay,2.63%
2021,11,14,Buffalo,6.67%
2021,11,14,Cincinnati,8.70%
2021,11,14,Houston,8.51%
2021,11,14,LA Chargers,5.56%
2021,11,14,Tennessee,9.43%
2021,11,14,Detroit,0.00%
2021,11,14,Washington,13.33%
2021,11,14,NY Jets,3.23%
2021,11,14,Indianapolis,3.70%
2021,11,14,New England,2.94%
2021,11,14,New Orleans,6.25%
2021,11,14,Baltimore,10.00%
2021,11,14,NY Giants,2.13%
2021,11,14,Philadelphia,0.00%
2021,11,14,Jacksonville,7.84%
2021,11,14,Dallas,12.50%
2021,11,14,Tampa Bay,2.50%
2021,11,14,Miami,8.51%
2021,11,14,Seattle,1.82%
2021,11,14,Kansas City,2.86%
2021,11,14,Atlanta,2.27%
2021,11,7,Minnesota,6.82%
2021,11,7,Chicago,0.00%
2021,11,7,Cleveland,5.41%
2021,11,7,Carolina,10.00%
2021,11,7,Pittsburgh,11.43%
2021,11,7,LA Rams,11.36%
2021,11,7,Denver,11.36%
2021,11,7,Green Bay,5.71%
2021,11,7,Arizona,2.63%
2021,11,7,San Francisco,12.90%
2021,11,7,Las Vegas,5.56%
