year,month,day,team,defensive_third_down_conversion_%
2021,11,21,Buffalo,23.08%
2021,11,21,Baltimore,23.08%
2021,11,21,Dallas,9.09%
2021,11,21,Carolina,30.77%
2021,11,21,Arizona,46.67%
2021,11,21,Pittsburgh,22.22%
2021,11,21,Minnesota,41.67%
2021,11,21,New England,18.18%
2021,11,21,Seattle,50.00%
2021,11,21,New Orleans,25.00%
2021,11,21,NY Giants,33.33%
2021,11,21,San Francisco,30.00%
2021,11,21,Tennessee,41.67%
2021,11,21,Chicago,35.29%
2021,11,21,Jacksonville,26.67%
2021,11,21,Kansas City,11.11%
2021,11,21,Indianapolis,33.33%
2021,11,21,Cincinnati,33.33%
2021,11,21,Las Vegas,60.00%
2021,11,21,Philadelphia,9.09%
2021,11,21,NY Jets,57.14%
2021,11,21,Green Bay,46.67%
2021,11,21,Detroit,41.18%
2021,11,21,Tampa Bay,57.89%
2021,11,21,LA Rams,57.14%
2021,11,21,Denver,46.15%
2021,11,21,Houston,56.25%
2021,11,21,Cleveland,77.78%
2021,11,21,Miami,14.29%
2021,11,21,Atlanta,33.33%
2021,11,21,LA Chargers,35.71%
2021,11,21,Washington,40.00%
2021,11,14,Buffalo,15.38%
2021,11,14,Arizona,40.00%
2021,11,14,Baltimore,23.08%
2021,11,14,Carolina,42.86%
2021,11,14,Minnesota,40.00%
2021,11,14,Seattle,35.71%
2021,11,14,Dallas,53.33%
2021,11,14,Pittsburgh,33.33%
2021,11,14,New Orleans,38.46%
2021,11,14,NY Giants,33.33%
2021,11,14,Las Vegas,50.00%
2021,11,14,Tennessee,26.67%
2021,11,14,San Francisco,46.67%
2021,11,14,New England,27.27%
2021,11,14,Tampa Bay,35.71%
2021,11,14,Chicago,35.29%
2021,11,14,NY Jets,50.00%
2021,11,14,Cincinnati,33.33%
2021,11,14,LA Rams,33.33%
2021,11,14,Green Bay,35.71%
2021,11,14,Indianapolis,57.14%
2021,11,14,Jacksonville,40.00%
2021,11,14,Cleveland,27.27%
2021,11,14,Detroit,50.00%
2021,11,14,Kansas City,16.67%
2021,11,14,Denver,38.46%
2021,11,14,Houston,56.25%
2021,11,14,Philadelphia,50.00%
2021,11,14,Miami,14.29%
2021,11,14,LA Chargers,66.67%
2021,11,14,Atlanta,30.00%
2021,11,14,Washington,53.85%
2021,11,7,Arizona,42.86%
2021,11,7,Dallas,7.69%
2021,11,7,Carolina,30.00%
2021,11,7,Baltimore,30.77%
2021,11,7,Buffalo,28.57%
2021,11,7,Minnesota,50.00%
2021,11,7,Seattle,35.71%
2021,11,7,Las Vegas,46.15%
2021,11,7,Pittsburgh,30.00%
2021,11,7,New Orleans,61.54%
2021,11,7,San Francisco,53.33%
2021,11,7,NY Giants,41.67%
2021,11,7,Tampa Bay,35.71%
2021,11,7,NY Jets,50.00%
2021,11,7,Tennessee,43.75%
2021,11,7,Chicago,40.00%
2021,11,7,New England,33.33%
2021,11,7,Cincinnati,54.55%
2021,11,7,Houston,36.36%
2021,11,7,Indianapolis,57.14%
2021,11,7,LA Rams,33.33%
2021,11,7,Jacksonville,30.00%
2021,11,7,Detroit,50.00%
2021,11,7,Green Bay,40.00%
2021,11,7,Cleveland,30.77%
2021,11,7,Philadelphia,35.71%
2021,11,7,Denver,35.71%
2021,11,7,LA Chargers,47.37%
2021,11,7,Kansas City,33.33%
2021,11,7,Atlanta,58.82%
2021,11,7,Miami,46.15%
2021,11,7,Washington,53.85%
2021,10,31,Minnesota,16.67%
2021,10,31,Arizona,42.86%
2021,10,31,Carolina,43.75%
2021,10,31,Baltimore,30.77%
2021,10,31,Buffalo,40.00%
2021,10,31,Seattle,15.38%
2021,10,31,New Orleans,25.00%
2021,10,31,San Francisco,42.86%
2021,10,31,Dallas,33.33%
2021,10,31,Las Vegas,46.15%
2021,10,31,Indianapolis,9.09%
2021,10,31,Pittsburgh,25.00%
2021,10,31,NY Giants,13.33%
2021,10,31,NY Jets,58.33%
2021,10,31,Cincinnati,31.25%
2021,10,31,Tennessee,36.36%
2021,10,31,Tampa Bay,18.18%
2021,10,31,Chicago,33.33%
2021,10,31,Detroit,69.23%
2021,10,31,New England,53.85%
2021,10,31,Houston,50.00%
2021,10,31,Green Bay,40.00%
2021,10,31,LA Rams,40.00%
2021,10,31,Jacksonville,52.94%
2021,10,31,LA Chargers,54.55%
2021,10,31,Philadelphia,33.33%
2021,10,31,Denver,60.00%
2021,10,31,Cleveland,45.45%
2021,10,31,Atlanta,63.64%
2021,10,31,Kansas City,66.67%
2021,10,31,Miami,46.15%
2021,10,31,Washington,50.00%
2021,10,24,Minnesota,16.67%
2021,10,24,Carolina,43.75%
2021,10,24,Arizona,30.00%
2021,10,24,San Francisco,30.00%
2021,10,24,Baltimore,25.00%
2021,10,24,Buffalo,40.00%
2021,10,24,New Orleans,31.25%
2021,10,24,Las Vegas,35.71%
2021,10,24,Dallas,33.33%
2021,10,24,NY Jets,64.29%
2021,10,24,Detroit,53.33%
2021,10,24,Seattle,35.71%
2021,10,24,Pittsburgh,25.00%
2021,10,24,New England,23.08%
2021,10,24,Tennessee,53.85%
2021,10,24,Houston,30.00%
2021,10,24,Cincinnati,35.71%
2021,10,24,Chicago,25.00%
2021,10,24,Indianapolis,52.94%
2021,10,24,NY Giants,18.18%
2021,10,24,Jacksonville,52.94%
2021,10,24,Tampa Bay,30.00%
2021,10,24,LA Rams,26.67%
2021,10,24,Green Bay,36.36%
2021,10,24,LA Chargers,54.55%
2021,10,24,Atlanta,50.00%
2021,10,24,Denver,60.00%
2021,10,24,Cleveland,45.45%
2021,10,24,Kansas City,50.00%
2021,10,24,Philadelphia,53.85%
2021,10,24,Miami,25.00%
2021,10,24,Washington,64.71%
2021,10,17,Carolina,30.77%
2021,10,17,Detroit,38.46%
2021,10,17,Arizona,27.27%
2021,10,17,Minnesota,27.27%
2021,10,17,Buffalo,41.67%
2021,10,17,San Francisco,30.00%
2021,10,17,Baltimore,50.00%
2021,10,17,New Orleans,31.25%
2021,10,17,Las Vegas,46.15%
2021,10,17,NY Jets,64.29%
