year,month,day,team,defensive_yards_per_game_allowed
2021,11,21,Buffalo,366.0
2021,11,21,Carolina,169.0
2021,11,21,Green Bay,208.0
2021,11,21,New England,165.0
2021,11,21,Arizona,341.0
2021,11,21,Cleveland,452.0
2021,11,21,Denver,386.0
2021,11,21,San Francisco,278.0
2021,11,21,Tampa Bay,320.0
2021,11,21,New Orleans,264.0
2021,11,21,LA Rams,335.0
2021,11,21,Pittsburgh,306.0
2021,11,21,Chicago,280.0
2021,11,21,Philadelphia,308.0
2021,11,21,Dallas,214.0
2021,11,21,Las Vegas,516.0
2021,11,21,LA Chargers,381.0
2021,11,21,Cincinnati,361.0
2021,11,21,Atlanta,308.0
2021,11,21,Indianapolis,331.0
2021,11,21,Jacksonville,295.0
2021,11,21,Tennessee,373.0
2021,11,21,Minnesota,253.0
2021,11,21,Baltimore,350.0
2021,11,21,NY Giants,403.0
2021,11,21,Kansas City,299.0
2021,11,21,Washington,273.0
2021,11,21,Detroit,387.0
2021,11,21,Miami,304.0
2021,11,21,Houston,262.0
2021,11,21,Seattle,393.0
2021,11,21,NY Jets,489.0
2021,11,14,Buffalo,218.0
2021,11,14,Carolina,273.0
2021,11,14,Cleveland,348.0
2021,11,14,Arizona,337.0
2021,11,14,Green Bay,237.0
2021,11,14,Denver,290.0
2021,11,14,Tampa Bay,361.0
2021,11,14,San Francisco,437.0
2021,11,14,New England,240.0
2021,11,14,Las Vegas,247.0
2021,11,14,New Orleans,366.0
2021,11,14,LA Rams,194.0
2021,11,14,Chicago,280.0
2021,11,14,Pittsburgh,414.0
2021,11,14,Philadelphia,445.0
2021,11,14,LA Chargers,331.0
2021,11,14,Atlanta,376.0
2021,11,14,Cincinnati,361.0
2021,11,14,Tennessee,347.0
2021,11,14,Indianapolis,486.0
2021,11,14,Dallas,407.0
2021,11,14,Baltimore,350.0
2021,11,14,NY Giants,403.0
2021,11,14,Jacksonville,301.0
2021,11,14,Detroit,350.0
2021,11,14,Kansas City,301.0
2021,11,14,Miami,304.0
2021,11,14,Minnesota,500.0
2021,11,14,Houston,262.0
2021,11,14,Washington,273.0
2021,11,14,Seattle,309.0
2021,11,14,NY Jets,532.0
2021,11,7,Buffalo,262.0
2021,11,7,Carolina,213.0
2021,11,7,Cleveland,370.0
2021,11,7,Arizona,335.0
2021,11,7,San Francisco,324.0
2021,11,7,Denver,342.0
2021,11,7,Green Bay,334.0
2021,11,7,Tampa Bay,361.0
2021,11,7,Philadelphia,228.0
2021,11,7,New Orleans,421.0
2021,11,7,Pittsburgh,306.0
2021,11,7,New England,369.0
2021,11,7,Las Vegas,358.0
2021,11,7,Chicago,467.0
2021,11,7,Atlanta,332.0
2021,11,7,Cincinnati,511.0
2021,11,7,LA Chargers,352.0
2021,11,7,Dallas,278.0
2021,11,7,Minnesota,419.0
2021,11,7,Indianapolis,486.0
2021,11,7,LA Rams,323.0
2021,11,7,Tennessee,307.0
2021,11,7,NY Giants,368.0
2021,11,7,Detroit,350.0
2021,11,7,Baltimore,520.0
2021,11,7,Jacksonville,229.0
2021,11,7,Washington,273.0
2021,11,7,Kansas City,300.0
2021,11,7,Houston,467.0
2021,11,7,Seattle,309.0
2021,11,7,Miami,351.0
2021,11,7,NY Jets,532.0
2021,10,31,Buffalo,362.0
2021,10,31,Cleveland,223.0
2021,10,31,Carolina,302.0
2021,10,31,Arizona,335.0
2021,10,31,Denver,376.0
2021,10,31,San Francisco,295.0
2021,10,31,New Orleans,219.0
2021,10,31,Green Bay,334.0
2021,10,31,Tampa Bay,311.0
2021,10,31,Cincinnati,393.0
2021,10,31,Chicago,408.0
2021,10,31,New England,299.0
2021,10,31,Pittsburgh,309.0
2021,10,31,Las Vegas,358.0
2021,10,31,Indianapolis,280.0
2021,10,31,Minnesota,306.0
2021,10,31,Philadelphia,442.0
2021,10,31,Atlanta,413.0
2021,10,31,LA Chargers,327.0
2021,10,31,NY Giants,173.0
2021,10,31,LA Rams,415.0
2021,10,31,Tennessee,334.0
2021,10,31,Dallas,335.0
2021,10,31,Baltimore,520.0
2021,10,31,Detroit,374.0
2021,10,31,Houston,397.0
2021,10,31,NY Jets,551.0
2021,10,31,Kansas City,369.0
2021,10,31,Washington,304.0
2021,10,31,Jacksonville,431.0
2021,10,31,Seattle,304.0
2021,10,31,Miami,397.0
2021,10,24,Buffalo,362.0
2021,10,24,Cleveland,223.0
2021,10,24,Carolina,571.0
2021,10,24,Green Bay,277.0
2021,10,24,Denver,376.0
2021,10,24,San Francisco,304.0
2021,10,24,Chicago,323.0
2021,10,24,Cincinnati,228.0
2021,10,24,Tampa Bay,213.0
2021,10,24,Arizona,290.0
2021,10,24,Philadelphia,399.0
2021,10,24,Pittsburgh,309.0
2021,10,24,Atlanta,230.0
2021,10,24,Las Vegas,421.0
2021,10,24,New Orleans,373.0
2021,10,24,Minnesota,306.0
2021,10,24,New England,567.0
2021,10,24,Baltimore,208.0
2021,10,24,LA Chargers,327.0
