,year,month,day,team,ranking,DateTime,Expected
0,2021,11,21,Buffalo,1,2021-11-21,
1,2021,11,21,Tampa Bay,2,2021-11-21,
2,2021,11,21,Dallas,3,2021-11-21,
3,2021,11,21,New England,4,2021-11-21,
4,2021,11,21,Arizona,5,2021-11-21,
5,2021,11,21,Kansas City,6,2021-11-21,
6,2021,11,21,New Orleans,7,2021-11-21,
7,2021,11,21,Tennessee,8,2021-11-21,
8,2021,11,21,Green Bay,9,2021-11-21,
9,2021,11,21,LA Rams,10,2021-11-21,
10,2021,11,21,Baltimore,11,2021-11-21,
11,2021,11,21,San Francisco,12,2021-11-21,
12,2021,11,21,Minnesota,13,2021-11-21,
13,2021,11,21,Seattle,14,2021-11-21,
14,2021,11,21,Philadelphia,15,2021-11-21,
15,2021,11,21,LA Chargers,16,2021-11-21,
16,2021,11,21,Indianapolis,17,2021-11-21,
17,2021,11,21,Cleveland,18,2021-11-21,
18,2021,11,21,Denver,19,2021-11-21,
19,2021,11,21,Carolina,20,2021-11-21,
20,2021,11,21,Pittsburgh,21,2021-11-21,
21,2021,11,21,Cincinnati,22,2021-11-21,
22,2021,11,21,Las Vegas,23,2021-11-21,
23,2021,11,21,Washington,24,2021-11-21,
24,2021,11,21,NY Giants,25,2021-11-21,
25,2021,11,21,Miami,26,2021-11-21,
26,2021,11,21,Chicago,27,2021-11-21,
27,2021,11,21,Jacksonville,28,2021-11-21,
28,2021,11,21,Atlanta,29,2021-11-21,
29,2021,11,21,Detroit,30,2021-11-21,
30,2021,11,21,NY Jets,31,2021-11-21,
31,2021,11,21,Houston,32,2021-11-21,
32,2021,11,14,Tampa Bay,1,2021-11-14,2.0
33,2021,11,14,Arizona,2,2021-11-14,5.0
34,2021,11,14,Buffalo,3,2021-11-14,1.0
35,2021,11,14,LA Rams,4,2021-11-14,10.0
36,2021,11,14,Tennessee,5,2021-11-14,8.0
37,2021,11,14,Dallas,6,2021-11-14,3.0
38,2021,11,14,New Orleans,7,2021-11-14,7.0
39,2021,11,14,Kansas City,8,2021-11-14,6.0
40,2021,11,14,Green Bay,9,2021-11-14,9.0
41,2021,11,14,New England,10,2021-11-14,4.0
42,2021,11,14,Cleveland,11,2021-11-14,18.0
43,2021,11,14,Seattle,12,2021-11-14,14.0
44,2021,11,14,Baltimore,13,2021-11-14,11.0
45,2021,11,14,Denver,14,2021-11-14,19.0
46,2021,11,14,Indianapolis,15,2021-11-14,17.0
47,2021,11,14,LA Chargers,16,2021-11-14,16.0
48,2021,11,14,Minnesota,17,2021-11-14,13.0
49,2021,11,14,Pittsburgh,18,2021-11-14,21.0
50,2021,11,14,San Francisco,19,2021-11-14,12.0
51,2021,11,14,Philadelphia,20,2021-11-14,15.0
52,2021,11,14,Las Vegas,21,2021-11-14,23.0
53,2021,11,14,Cincinnati,22,2021-11-14,22.0
54,2021,11,14,NY Giants,23,2021-11-14,25.0
55,2021,11,14,Carolina,24,2021-11-14,20.0
56,2021,11,14,Washington,25,2021-11-14,24.0
57,2021,11,14,Atlanta,26,2021-11-14,29.0
58,2021,11,14,Miami,27,2021-11-14,26.0
59,2021,11,14,Chicago,28,2021-11-14,27.0
60,2021,11,14,Jacksonville,29,2021-11-14,28.0
61,2021,11,14,NY Jets,30,2021-11-14,31.0
62,2021,11,14,Detroit,31,2021-11-14,30.0
63,2021,11,14,Houston,32,2021-11-14,32.0
64,2021,11,7,Buffalo,1,2021-11-07,3.0
65,2021,11,7,Tampa Bay,2,2021-11-07,1.0
66,2021,11,7,Arizona,3,2021-11-07,2.0
67,2021,11,7,Dallas,4,2021-11-07,6.0
68,2021,11,7,LA Rams,5,2021-11-07,4.0
69,2021,11,7,New Orleans,6,2021-11-07,7.0
70,2021,11,7,Green Bay,7,2021-11-07,9.0
71,2021,11,7,Baltimore,8,2021-11-07,13.0
72,2021,11,7,Tennessee,9,2021-11-07,5.0
73,2021,11,7,Kansas City,10,2021-11-07,8.0
74,2021,11,7,Seattle,11,2021-11-07,12.0
75,2021,11,7,New England,12,2021-11-07,10.0
76,2021,11,7,Indianapolis,13,2021-11-07,15.0
77,2021,11,7,Minnesota,14,2021-11-07,17.0
78,2021,11,7,Cleveland,15,2021-11-07,11.0
79,2021,11,7,San Francisco,16,2021-11-07,19.0
80,2021,11,7,Cincinnati,17,2021-11-07,22.0
81,2021,11,7,LA Chargers,18,2021-11-07,16.0
82,2021,11,7,Pittsburgh,19,2021-11-07,18.0
83,2021,11,7,Philadelphia,20,2021-11-07,20.0
84,2021,11,7,Denver,21,2021-11-07,14.0
85,2021,11,7,Las Vegas,22,2021-11-07,21.0
86,2021,11,7,Carolina,23,2021-11-07,24.0
87,2021,11,7,NY Giants,24,2021-11-07,23.0
88,2021,11,7,Washington,25,2021-11-07,25.0
89,2021,11,7,Chicago,26,2021-11-07,28.0
90,2021,11,7,Atlanta,27,2021-11-07,26.0
91,2021,11,7,Miami,28,2021-11-07,27.0
92,2021,11,7,Jacksonville,29,2021-11-07,29.0
93,2021,11,7,NY Jets,30,2021-11-07,30.0
94,2021,11,7,Detroit,31,2021-11-07,31.0
95,2021,11,7,Houston,32,2021-11-07,32.0
96,2021,10,31,Buffalo,1,2021-10-31,1.0
