Date,team,opponent,opponent_rank
2021-09-12,Tampa Bay,Dallas,14
2021-09-12,Philadelphia,Atlanta,23
2021-09-12,Pittsburgh,Buffalo,5
2021-09-12,Carolina,NY Jets,30
2021-09-12,Cincinnati,Minnesota,17
2021-09-12,Seattle,Indianapolis,20
2021-09-12,LA Chargers,Washington,16
2021-09-12,Arizona,Tennessee,13
2021-09-12,Houston,Jacksonville,29
2021-09-12,San Francisco,Detroit,31
2021-09-12,New Orleans,Green Bay,4
2021-09-12,Miami,New England,10
2021-09-12,Kansas City,Cleveland,6
2021-09-12,Denver,NY Giants,25
2021-09-12,LA Rams,Chicago,24
2021-09-19,Las Vegas,Baltimore,4
2021-09-19,Washington,NY Giants,25
2021-09-19,New England,NY Jets,29
2021-09-19,Cleveland,Houston,32
2021-09-19,Denver,Jacksonville,30
2021-09-19,Buffalo,Miami,20
2021-09-19,Carolina,New Orleans,3
2021-09-19,Chicago,Cincinnati,27
2021-09-19,San Francisco,Philadelphia,17
2021-09-19,Las Vegas,Pittsburgh,11
2021-09-19,LA Rams,Indianapolis,22
2021-09-19,Tampa Bay,Atlanta,28
2021-09-19,Arizona,Minnesota,18
2021-09-19,Dallas,LA Chargers,12
2021-09-19,Tennessee,Seattle,7
2021-09-19,Baltimore,Kansas City,1
2021-09-26,Green Bay,Detroit,31
2021-09-26,Carolina,Houston,32
2021-09-26,Atlanta,NY Giants,24
2021-09-26,Buffalo,Washington,21
2021-09-26,Cleveland,Chicago,25
2021-09-26,Tennessee,Indianapolis,23
2021-09-26,Arizona,Jacksonville,29
2021-09-26,LA Chargers,Kansas City,2
2021-09-26,New Orleans,New England,11
2021-09-26,Cincinnati,Pittsburgh,15
2021-09-26,Baltimore,Detroit,31
2021-09-26,Las Vegas,Miami,26
2021-09-26,Denver,NY Jets,30
2021-09-26,Minnesota,Seattle,10
2021-09-26,LA Rams,Tampa Bay,1
2021-09-26,Green Bay,San Francisco,8
2021-10-03,Dallas,Philadelphia,21
2021-10-03,Cincinnati,Jacksonville,29
2021-10-03,Kansas City,Philadelphia,21
2021-10-03,NY Giants,New Orleans,5
2021-10-03,NY Jets,Tennessee,19
2021-10-03,Washington,Atlanta,28
2021-10-03,Buffalo,Houston,31
2021-10-03,Dallas,Carolina,16
2021-10-03,Chicago,Detroit,30
2021-10-03,Cleveland,Minnesota,14
2021-10-03,Indianapolis,Miami,25
2021-10-03,Seattle,San Francisco,12
2021-10-03,Arizona,LA Rams,4
2021-10-03,Baltimore,Denver,10
