year,month,day,team,offensive_interceptions
2021,11,21,Minnesota,0.0
2021,11,21,Indianapolis,0.0
2021,11,21,Cleveland,1.0
2021,11,21,New Orleans,0.0
2021,11,21,Seattle,2.0
2021,11,21,Philadelphia,1.0
2021,11,21,Green Bay,1.0
2021,11,21,Pittsburgh,1.0
2021,11,21,Denver,0.0
2021,11,21,Detroit,0.0
2021,11,21,Buffalo,1.0
2021,11,21,Dallas,0.0
2021,11,21,San Francisco,0.0
2021,11,21,New England,1.0
2021,11,21,Tampa Bay,2.0
2021,11,21,NY Giants,0.0
2021,11,21,LA Chargers,1.0
2021,11,21,Tennessee,0.0
2021,11,21,Arizona,1.0
2021,11,21,Las Vegas,1.0
2021,11,21,Baltimore,1.0
2021,11,21,Miami,0.0
2021,11,21,LA Rams,2.0
2021,11,21,Jacksonville,0.0
2021,11,21,Kansas City,0.0
2021,11,21,Chicago,1.0
2021,11,21,Washington,0.0
2021,11,21,Carolina,1.0
2021,11,21,Houston,3.0
2021,11,21,Cincinnati,2.0
2021,11,21,Atlanta,4.0
2021,11,21,NY Jets,4.0
2021,11,14,Minnesota,0.0
2021,11,14,Seattle,0.0
2021,11,14,Cleveland,0.0
2021,11,14,Green Bay,1.0
2021,11,14,Philadelphia,0.0
2021,11,14,Indianapolis,0.0
2021,11,14,Pittsburgh,0.0
2021,11,14,New Orleans,0.0
2021,11,14,Tampa Bay,2.0
2021,11,14,Buffalo,2.0
2021,11,14,Denver,0.0
2021,11,14,LA Chargers,0.0
2021,11,14,San Francisco,1.0
2021,11,14,Detroit,0.0
2021,11,14,Dallas,1.0
2021,11,14,Atlanta,0.0
2021,11,14,Arizona,0.0
2021,11,14,NY Giants,0.0
2021,11,14,New England,1.0
2021,11,14,LA Rams,2.0
2021,11,14,Las Vegas,2.0
2021,11,14,Baltimore,1.0
2021,11,14,Tennessee,1.0
2021,11,14,Miami,0.0
2021,11,14,Chicago,1.0
2021,11,14,Kansas City,0.0
2021,11,14,Jacksonville,0.0
2021,11,14,Washington,2.0
2021,11,14,Carolina,3.0
2021,11,14,Cincinnati,2.0
2021,11,14,Houston,3.0
2021,11,14,NY Jets,1.0
2021,11,7,Seattle,0.0
2021,11,7,Minnesota,0.0
2021,11,7,Cleveland,0.0
2021,11,7,Green Bay,0.0
2021,11,7,Buffalo,0.0
2021,11,7,Indianapolis,0.0
2021,11,7,Philadelphia,0.0
2021,11,7,New Orleans,0.0
2021,11,7,Pittsburgh,0.0
2021,11,7,LA Rams,0.0
2021,11,7,Tampa Bay,2.0
2021,11,7,Dallas,1.0
2021,11,7,San Francisco,0.0
2021,11,7,Las Vegas,1.0
2021,11,7,Baltimore,0.0
2021,11,7,Detroit,0.0
2021,11,7,Denver,0.0
2021,11,7,New England,0.0
2021,11,7,LA Chargers,2.0
2021,11,7,Atlanta,2.0
2021,11,7,Tennessee,2.0
2021,11,7,NY Giants,1.0
2021,11,7,Arizona,2.0
2021,11,7,Miami,1.0
2021,11,7,Chicago,1.0
2021,11,7,Carolina,0.0
2021,11,7,Houston,1.0
2021,11,7,Cincinnati,1.0
2021,11,7,Washington,2.0
2021,11,7,Kansas City,1.0
2021,11,7,Jacksonville,1.0
2021,11,7,NY Jets,1.0
2021,10,31,Indianapolis,0.0
2021,10,31,Seattle,0.0
2021,10,31,Minnesota,0.0
2021,10,31,Green Bay,0.0
2021,10,31,Tampa Bay,0.0
2021,10,31,Cleveland,0.0
2021,10,31,Buffalo,1.0
2021,10,31,Philadelphia,0.0
2021,10,31,Pittsburgh,0.0
2021,10,31,LA Chargers,1.0
2021,10,31,Atlanta,1.0
2021,10,31,New Orleans,0.0
2021,10,31,Dallas,1.0
2021,10,31,Las Vegas,1.0
2021,10,31,LA Rams,0.0
2021,10,31,Baltimore,0.0
2021,10,31,Tennessee,1.0
2021,10,31,San Francisco,2.0
2021,10,31,NY Giants,0.0
2021,10,31,Denver,1.0
2021,10,31,New England,0.0
2021,10,31,Miami,2.0
2021,10,31,Detroit,2.0
2021,10,31,Arizona,2.0
2021,10,31,Chicago,3.0
2021,10,31,Washington,1.0
2021,10,31,Houston,0.0
2021,10,31,Cincinnati,1.0
2021,10,31,Carolina,1.0
2021,10,31,Kansas City,1.0
2021,10,31,Jacksonville,0.0
2021,10,31,NY Jets,2.0
2021,10,24,Minnesota,0.0
2021,10,24,Indianapolis,0.0
2021,10,24,Seattle,0.0
2021,10,24,Cleveland,0.0
2021,10,24,Buffalo,1.0
2021,10,24,Tampa Bay,1.0
2021,10,24,Green Bay,0.0
2021,10,24,Atlanta,0.0
2021,10,24,San Francisco,1.0
2021,10,24,Philadelphia,1.0
2021,10,24,Arizona,0.0
2021,10,24,Pittsburgh,0.0
2021,10,24,Miami,1.0
2021,10,24,LA Chargers,1.0
2021,10,24,Chicago,1.0
2021,10,24,Dallas,1.0
2021,10,24,Detroit,1.0
2021,10,24,Tennessee,1.0
2021,10,24,Las Vegas,0.0
2021,10,24,New Orleans,1.0
2021,10,24,Baltimore,2.0
2021,10,24,LA Rams,2.0
2021,10,24,Denver,1.0
2021,10,24,Washington,1.0
2021,10,24,NY Giants,3.0
2021,10,24,New England,1.0
2021,10,24,Carolina,1.0
2021,10,24,Cincinnati,1.0
2021,10,24,Houston,2.0
2021,10,24,Kansas City,2.0
2021,10,24,Jacksonville,0.0
2021,10,24,NY Jets,1.0
