year,month,day,team,third_down_conversion_percentage
2021,11,21,Kansas City,60.00%
2021,11,21,Buffalo,57.14%
2021,11,21,Tampa Bay,40.00%
2021,11,21,New England,33.33%
2021,11,21,Dallas,42.86%
2021,11,21,Philadelphia,46.15%
2021,11,21,LA Chargers,41.67%
2021,11,21,Arizona,30.77%
2021,11,21,LA Rams,30.00%
2021,11,21,NY Jets,23.08%
2021,11,21,Tennessee,25.00%
2021,11,21,Green Bay,50.00%
2021,11,21,Miami,23.08%
2021,11,21,Pittsburgh,41.18%
2021,11,21,NY Giants,50.00%
2021,11,21,Houston,35.29%
2021,11,21,Indianapolis,26.67%
2021,11,21,Atlanta,18.18%
2021,11,21,Washington,57.89%
2021,11,21,Cincinnati,27.27%
2021,11,21,New Orleans,41.67%
2021,11,21,Cleveland,9.09%
2021,11,21,Las Vegas,11.11%
2021,11,21,San Francisco,57.14%
2021,11,21,Carolina,46.67%
2021,11,21,Minnesota,35.71%
2021,11,21,Denver,9.09%
2021,11,21,Chicago,33.33%
2021,11,21,Baltimore,14.29%
2021,11,21,Seattle,46.67%
2021,11,21,Detroit,22.22%
2021,11,21,Jacksonville,33.33%
2021,11,14,Kansas City,35.71%
2021,11,14,Tampa Bay,61.54%
2021,11,14,Buffalo,40.00%
2021,11,14,Dallas,38.46%
2021,11,14,New England,42.86%
2021,11,14,NY Jets,57.14%
2021,11,14,Arizona,46.67%
2021,11,14,LA Chargers,50.00%
2021,11,14,Philadelphia,66.67%
2021,11,14,Atlanta,38.46%
2021,11,14,LA Rams,26.67%
2021,11,14,Tennessee,33.33%
2021,11,14,Indianapolis,50.00%
2021,11,14,Miami,23.08%
2021,11,14,Cleveland,33.33%
2021,11,14,Pittsburgh,35.29%
2021,11,14,NY Giants,50.00%
2021,11,14,Green Bay,16.67%
2021,11,14,Las Vegas,33.33%
2021,11,14,Houston,35.29%
2021,11,14,Cincinnati,27.27%
2021,11,14,Denver,53.33%
2021,11,14,New Orleans,30.00%
2021,11,14,Minnesota,35.71%
2021,11,14,Carolina,27.27%
2021,11,14,Washington,35.71%
2021,11,14,Chicago,33.33%
2021,11,14,Detroit,35.71%
2021,11,14,Baltimore,14.29%
2021,11,14,San Francisco,40.00%
2021,11,14,Seattle,30.00%
2021,11,14,Jacksonville,15.38%
2021,11,7,Kansas City,41.67%
2021,11,7,Buffalo,46.15%
2021,11,7,Tampa Bay,61.54%
2021,11,7,Dallas,50.00%
2021,11,7,LA Rams,36.36%
2021,11,7,New England,47.37%
2021,11,7,NY Jets,57.14%
2021,11,7,Atlanta,30.00%
2021,11,7,Arizona,40.00%
2021,11,7,LA Chargers,33.33%
2021,11,7,Tennessee,47.06%
2021,11,7,Green Bay,42.86%
2021,11,7,Philadelphia,50.00%
2021,11,7,Pittsburgh,30.77%
2021,11,7,Cleveland,30.00%
