year,month,day,team,offensive_yards_per_game
2021,11,21,Dallas,431.0
2021,11,21,Baltimore,304.0
2021,11,21,Tampa Bay,273.0
2021,11,21,Kansas City,516.0
2021,11,21,Buffalo,489.0
2021,11,21,LA Rams,278.0
2021,11,21,Minnesota,381.0
2021,11,21,Las Vegas,299.0
2021,11,21,Arizona,169.0
2021,11,21,LA Chargers,253.0
2021,11,21,Cleveland,217.0
2021,11,21,Indianapolis,295.0
2021,11,21,San Francisco,335.0
2021,11,21,Cincinnati,348.0
2021,11,21,New England,308.0
2021,11,21,Philadelphia,386.0
2021,11,21,Tennessee,264.0
2021,11,21,Washington,320.0
2021,11,21,Denver,308.0
2021,11,21,Green Bay,393.0
2021,11,21,NY Giants,247.0
2021,11,21,NY Jets,366.0
2021,11,21,Jacksonville,331.0
2021,11,21,Pittsburgh,387.0
2021,11,21,New Orleans,373.0
2021,11,21,Carolina,341.0
2021,11,21,Detroit,306.0
2021,11,21,Atlanta,165.0
2021,11,21,Miami,350.0
2021,11,21,Seattle,208.0
2021,11,21,Chicago,414.0
2021,11,21,Houston,272.0
2021,11,14,Dallas,290.0
2021,11,14,Tampa Bay,421.0
2021,11,14,Baltimore,304.0
2021,11,14,LA Rams,347.0
2021,11,14,Arizona,437.0
2021,11,14,Las Vegas,403.0
2021,11,14,Kansas City,237.0
2021,11,14,Buffalo,301.0
2021,11,14,Minnesota,318.0
2021,11,14,LA Chargers,445.0
2021,11,14,Cleveland,361.0
2021,11,14,Indianapolis,532.0
2021,11,14,San Francisco,337.0
2021,11,14,Cincinnati,348.0
2021,11,14,Tennessee,194.0
2021,11,14,Washington,342.0
2021,11,14,Philadelphia,331.0
2021,11,14,Denver,407.0
2021,11,14,New England,273.0
2021,11,14,Atlanta,366.0
2021,11,14,NY Giants,247.0
2021,11,14,Green Bay,301.0
2021,11,14,Jacksonville,218.0
2021,11,14,NY Jets,486.0
2021,11,14,Pittsburgh,280.0
2021,11,14,Detroit,228.0
2021,11,14,Carolina,240.0
2021,11,14,New Orleans,376.0
2021,11,14,Seattle,229.0
2021,11,14,Miami,350.0
2021,11,14,Chicago,414.0
2021,11,14,Houston,272.0
2021,11,7,Dallas,419.0
2021,11,7,Tampa Bay,421.0
2021,11,7,Baltimore,393.0
2021,11,7,Kansas City,368.0
2021,11,7,LA Rams,467.0
2021,11,7,Buffalo,351.0
2021,11,7,Minnesota,278.0
2021,11,7,Arizona,334.0
2021,11,7,Las Vegas,442.0
2021,11,7,Cleveland,306.0
2021,11,7,Tennessee,340.0
2021,11,7,LA Chargers,369.0
2021,11,7,Indianapolis,532.0
2021,11,7,San Francisco,467.0
2021,11,7,Cincinnati,318.0
2021,11,7,New England,352.0
2021,11,7,Jacksonville,309.0
2021,11,7,Washington,342.0
2021,11,7,Philadelphia,350.0
