year,month,day,team,ranking
2021,11,21,Buffalo,1
2021,11,21,Tampa Bay,2
2021,11,21,Dallas,3
2021,11,21,New England,4
2021,11,21,Arizona,5
2021,11,21,Kansas City,6
2021,11,21,New Orleans,7
2021,11,21,Tennessee,8
2021,11,21,Green Bay,9
2021,11,21,LA Rams,10
2021,11,21,Baltimore,11
2021,11,21,San Francisco,12
2021,11,21,Minnesota,13
2021,11,21,Seattle,14
2021,11,21,Philadelphia,15
2021,11,21,LA Chargers,16
2021,11,21,Indianapolis,17
2021,11,21,Cleveland,18
2021,11,21,Denver,19
2021,11,21,Carolina,20
2021,11,21,Pittsburgh,21
2021,11,21,Cincinnati,22
2021,11,21,Las Vegas,23
2021,11,21,Washington,24
2021,11,21,NY Giants,25
2021,11,21,Miami,26
2021,11,21,Chicago,27
2021,11,21,Jacksonville,28
2021,11,21,Atlanta,29
2021,11,21,Detroit,30
2021,11,21,NY Jets,31
2021,11,21,Houston,32
2021,11,14,Tampa Bay,1
2021,11,14,Arizona,2
2021,11,14,Buffalo,3
2021,11,14,LA Rams,4
2021,11,14,Tennessee,5
2021,11,14,Dallas,6
2021,11,14,New Orleans,7
2021,11,14,Kansas City,8
2021,11,14,Green Bay,9
2021,11,14,New England,10
2021,11,14,Cleveland,11
2021,11,14,Seattle,12
2021,11,14,Baltimore,13
2021,11,14,Denver,14
2021,11,14,Indianapolis,15
2021,11,14,LA Chargers,16
2021,11,14,Minnesota,17
2021,11,14,Pittsburgh,18
2021,11,14,San Francisco,19
2021,11,14,Philadelphia,20
2021,11,14,Las Vegas,21
2021,11,14,Cincinnati,22
2021,11,14,NY Giants,23
2021,11,14,Carolina,24
2021,11,14,Washington,25
2021,11,14,Atlanta,26
2021,11,14,Miami,27
2021,11,14,Chicago,28
2021,11,14,Jacksonville,29
2021,11,14,NY Jets,30
2021,11,14,Detroit,31
2021,11,14,Houston,32
2021,11,7,Buffalo,1
2021,11,7,Tampa Bay,2
2021,11,7,Arizona,3
2021,11,7,Dallas,4
2021,11,7,LA Rams,5
2021,11,7,New Orleans,6
2021,11,7,Green Bay,7
2021,11,7,Baltimore,8
2021,11,7,Tennessee,9
2021,11,7,Kansas City,10
2021,11,7,Seattle,11
2021,11,7,New England,12
2021,11,7,Indianapolis,13
2021,11,7,Minnesota,14
2021,11,7,Cleveland,15
2021,11,7,San Francisco,16
2021,11,7,Cincinnati,17
2021,11,7,LA Chargers,18
2021,11,7,Pittsburgh,19
2021,11,7,Philadelphia,20
2021,11,7,Denver,21
2021,11,7,Las Vegas,22
2021,11,7,Carolina,23
2021,11,7,NY Giants,24
2021,11,7,Washington,25
2021,11,7,Chicago,26
2021,11,7,Atlanta,27
2021,11,7,Miami,28
2021,11,7,Jacksonville,29
2021,11,7,NY Jets,30
2021,11,7,Detroit,31
2021,11,7,Houston,32
2021,10,31,Buffalo,1
2021,10,31,Tampa Bay,2
2021,10,31,Arizona,3
2021,10,31,LA Rams,4
2021,10,31,Dallas,5
2021,10,31,New Orleans,6
2021,10,31,Baltimore,7
2021,10,31,Green Bay,8
2021,10,31,Kansas City,9
2021,10,31,Tennessee,10
2021,10,31,Cincinnati,11
2021,10,31,Cleveland,12
2021,10,31,New England,13
2021,10,31,LA Chargers,14
2021,10,31,Minnesota,15
2021,10,31,Indianapolis,16
2021,10,31,Seattle,17
2021,10,31,San Francisco,18
2021,10,31,Pittsburgh,19
2021,10,31,Denver,20
2021,10,31,Las Vegas,21
2021,10,31,Philadelphia,22
2021,10,31,Carolina,23
2021,10,31,Washington,24
2021,10,31,NY Giants,25
2021,10,31,Chicago,26
2021,10,31,Atlanta,27
2021,10,31,Miami,28
2021,10,31,Detroit,29
2021,10,31,Jacksonville,30
2021,10,31,NY Jets,31
2021,10,31,Houston,32
2021,10,24,Buffalo,1
2021,10,24,Arizona,2
2021,10,24,Tampa Bay,3
2021,10,24,Baltimore,4
2021,10,24,LA Rams,5
2021,10,24,Kansas City,6
2021,10,24,Dallas,7
2021,10,24,New Orleans,8
2021,10,24,Green Bay,9
2021,10,24,Cleveland,10
2021,10,24,LA Chargers,11
2021,10,24,San Francisco,12
2021,10,24,Seattle,13
2021,10,24,Minnesota,14
2021,10,24,Tennessee,15
2021,10,24,Indianapolis,16
2021,10,24,Denver,17
2021,10,24,Pittsburgh,18
2021,10,24,Cincinnati,19
2021,10,24,Las Vegas,20
2021,10,24,New England,21
2021,10,24,Carolina,22
2021,10,24,Philadelphia,23
2021,10,24,Chicago,24
2021,10,24,Washington,25
2021,10,24,NY Giants,26
2021,10,24,Atlanta,27
2021,10,24,Miami,28
2021,10,24,Jacksonville,29
2021,10,24,Detroit,30
2021,10,24,NY Jets,31
2021,10,24,Houston,32
2021,10,17,Buffalo,1
2021,10,17,Tampa Bay,2
2021,10,17,Arizona,3
2021,10,17,Dallas,4
2021,10,17,Kansas City,5
2021,10,17,LA Rams,6
2021,10,17,Baltimore,7
2021,10,17,Cleveland,8
2021,10,17,New Orleans,9
2021,10,17,LA Chargers,10
2021,10,17,Green Bay,11
2021,10,17,San Francisco,12
2021,10,17,Seattle,13
2021,10,17,Denver,14
2021,10,17,Minnesota,15
2021,10,17,Carolina,16
2021,10,17,Tennessee,17
2021,10,17,New England,18
2021,10,17,Pittsburgh,19
2021,10,17,Philadelphia,20
2021,10,17,Indianapolis,21
2021,10,17,Las Vegas,22
2021,10,17,Cincinnati,23
2021,10,17,Washington,24
2021,10,17,Chicago,25
2021,10,17,NY Giants,26
2021,10,17,Atlanta,27
2021,10,17,Miami,28
2021,10,17,Detroit,29
2021,10,17,Jacksonville,30
2021,10,17,NY Jets,31
2021,10,17,Houston,32
2021,10,10,Buffalo,1
2021,10,10,Kansas City,2
2021,10,10,Tampa Bay,3
2021,10,10,Arizona,4
2021,10,10,Baltimore,5
2021,10,10,Cleveland,6
2021,10,10,LA Rams,7
2021,10,10,Dallas,8
2021,10,10,LA Chargers,9
2021,10,10,New Orleans,10
2021,10,10,Denver,11
2021,10,10,Green Bay,12
2021,10,10,Minnesota,13
2021,10,10,San Francisco,14
2021,10,10,Seattle,15
2021,10,10,Carolina,16
2021,10,10,New England,17
2021,10,10,Las Vegas,18
2021,10,10,Pittsburgh,19
2021,10,10,Washington,20
2021,10,10,Tennessee,21
2021,10,10,Indianapolis,22
2021,10,10,Cincinnati,23
2021,10,10,Philadelphia,24
2021,10,10,NY Giants,25
2021,10,10,Chicago,26
2021,10,10,Miami,27
2021,10,10,Atlanta,28
2021,10,10,Jacksonville,29
2021,10,10,Detroit,30
2021,10,10,NY Jets,31
2021,10,10,Houston,32
2021,10,3,Buffalo,1
2021,10,3,Tampa Bay,2
2021,10,3,Kansas City,3
2021,10,3,LA Rams,4
2021,10,3,New Orleans,5
2021,10,3,Cleveland,6
2021,10,3,Baltimore,7
2021,10,3,Dallas,8
2021,10,3,Arizona,9
2021,10,3,Denver,10
2021,10,3,LA Chargers,11
2021,10,3,San Francisco,12
2021,10,3,Green Bay,13
2021,10,3,Minnesota,14
2021,10,3,Seattle,15
2021,10,3,Carolina,16
2021,10,3,Las Vegas,17
2021,10,3,New England,18
2021,10,3,Tennessee,19
2021,10,3,Pittsburgh,20
2021,10,3,Philadelphia,21
2021,10,3,Washington,22
2021,10,3,Cincinnati,23
2021,10,3,Indianapolis,24
2021,10,3,Miami,25
2021,10,3,NY Giants,26
2021,10,3,Chicago,27
2021,10,3,Atlanta,28
2021,10,3,Jacksonville,29
2021,10,3,Detroit,30
2021,10,3,Houston,31
2021,10,3,NY Jets,32
2021,9,26,Tampa Bay,1
2021,9,26,Kansas City,2
2021,9,26,Buffalo,3
2021,9,26,Baltimore,4
2021,9,26,LA Rams,5
2021,9,26,Cleveland,6
2021,9,26,New Orleans,7
2021,9,26,San Francisco,8
2021,9,26,Arizona,9
2021,9,26,Seattle,10
2021,9,26,New England,11
2021,9,26,Denver,12
2021,9,26,Dallas,13
2021,9,26,Green Bay,14
2021,9,26,Pittsburgh,15
2021,9,26,LA Chargers,16
2021,9,26,Las Vegas,17
2021,9,26,Carolina,18
2021,9,26,Minnesota,19
2021,9,26,Philadelphia,20
2021,9,26,Washington,21
2021,9,26,Tennessee,22
2021,9,26,Indianapolis,23
2021,9,26,NY Giants,24
2021,9,26,Chicago,25
2021,9,26,Miami,26
2021,9,26,Cincinnati,27
2021,9,26,Atlanta,28
2021,9,26,Jacksonville,29
2021,9,26,NY Jets,30
2021,9,26,Detroit,31
2021,9,26,Houston,32
2021,9,19,Kansas City,1
2021,9,19,Tampa Bay,2
2021,9,19,New Orleans,3
2021,9,19,Baltimore,4
2021,9,19,LA Rams,5
2021,9,19,Cleveland,6
2021,9,19,Seattle,7
2021,9,19,Buffalo,8
2021,9,19,Arizona,9
2021,9,19,San Francisco,10
2021,9,19,Pittsburgh,11
2021,9,19,LA Chargers,12
2021,9,19,Denver,13
2021,9,19,Green Bay,14
2021,9,19,Dallas,15
2021,9,19,New England,16
2021,9,19,Philadelphia,17
2021,9,19,Minnesota,18
2021,9,19,Washington,19
2021,9,19,Miami,20
2021,9,19,Las Vegas,21
2021,9,19,Indianapolis,22
2021,9,19,Tennessee,23
2021,9,19,Carolina,24
2021,9,19,NY Giants,25
2021,9,19,Chicago,26
2021,9,19,Cincinnati,27
2021,9,19,Atlanta,28
2021,9,19,NY Jets,29
2021,9,19,Jacksonville,30
2021,9,19,Detroit,31
2021,9,19,Houston,32
2021,9,12,Kansas City,1
2021,9,12,Tampa Bay,2
2021,9,12,Baltimore,3
2021,9,12,Green Bay,4
2021,9,12,Buffalo,5
2021,9,12,Cleveland,6
2021,9,12,LA Rams,7
2021,9,12,San Francisco,8
2021,9,12,Seattle,9
2021,9,12,New England,10
2021,9,12,New Orleans,11
2021,9,12,LA Chargers,12
2021,9,12,Tennessee,13
2021,9,12,Dallas,14
2021,9,12,Pittsburgh,15
2021,9,12,Washington,16
2021,9,12,Minnesota,17
2021,9,12,Denver,18
2021,9,12,Arizona,19
2021,9,12,Indianapolis,20
2021,9,12,Miami,21
2021,9,12,Las Vegas,22
2021,9,12,Atlanta,23
2021,9,12,Chicago,24
2021,9,12,NY Giants,25
2021,9,12,Philadelphia,26
2021,9,12,Carolina,27
2021,9,12,Cincinnati,28
