year,month,day,team,red_zone_TD_percentage
2021,11,21,San Francisco,100.00%
2021,11,21,Seattle,0.00%
2021,11,21,Baltimore,50.00%
2021,11,21,Arizona,100.00%
2021,11,21,New Orleans,75.00%
2021,11,21,Philadelphia,33.33%
2021,11,21,Minnesota,75.00%
2021,11,21,Cincinnati,50.00%
2021,11,21,Tampa Bay,33.33%
2021,11,21,Dallas,100.00%
2021,11,21,Tennessee,40.00%
2021,11,21,LA Chargers,66.67%
2021,11,21,NY Jets,100.00%
2021,11,21,Buffalo,85.71%
2021,11,21,LA Rams,25.00%
2021,11,21,Jacksonville,100.00%
2021,11,21,Kansas City,75.00%
2021,11,21,Pittsburgh,33.33%
2021,11,21,New England,33.33%
2021,11,21,Miami,25.00%
2021,11,21,Atlanta,0.00%
2021,11,21,Carolina,75.00%
2021,11,21,Cleveland,50.00%
2021,11,21,Chicago,50.00%
2021,11,21,Green Bay,40.00%
2021,11,21,Las Vegas,50.00%
2021,11,21,Houston,0.00%
2021,11,21,Indianapolis,25.00%
2021,11,21,Denver,20.00%
2021,11,21,Detroit,0.00%
2021,11,21,Washington,50.00%
2021,11,21,NY Giants,0.00%
2021,11,14,San Francisco,66.67%
2021,11,14,Seattle,75.00%
2021,11,14,Philadelphia,66.67%
2021,11,14,Baltimore,50.00%
2021,11,14,Arizona,66.67%
2021,11,14,New Orleans,75.00%
2021,11,14,Tampa Bay,100.00%
2021,11,14,Cincinnati,50.00%
2021,11,14,Tennessee,100.00%
2021,11,14,Minnesota,66.67%
2021,11,14,LA Rams,33.33%
2021,11,14,Atlanta,60.00%
2021,11,14,Pittsburgh,100.00%
2021,11,14,LA Chargers,50.00%
2021,11,14,Dallas,100.00%
2021,11,14,NY Jets,60.00%
2021,11,14,Jacksonville,0.00%
2021,11,14,Kansas City,50.00%
2021,11,14,Miami,25.00%
2021,11,14,Buffalo,0.00%
2021,11,14,Green Bay,0.00%
2021,11,14,Denver,66.67%
2021,11,14,New England,66.67%
2021,11,14,Cleveland,50.00%
2021,11,14,Indianapolis,75.00%
2021,11,14,Chicago,50.00%
2021,11,14,Las Vegas,16.67%
2021,11,14,Houston,0.00%
2021,11,14,Carolina,0.00%
2021,11,14,Detroit,100.00%
2021,11,14,Washington,0.00%
2021,11,14,NY Giants,0.00%
2021,11,7,San Francisco,60.00%
2021,11,7,Seattle,75.00%
2021,11,7,Baltimore,100.00%
2021,11,7,Philadelphia,80.00%
2021,11,7,Cincinnati,66.67%
2021,11,7,Arizona,75.00%
2021,11,7,New Orleans,42.86%
2021,11,7,Tampa Bay,100.00%
2021,11,7,Houston,100.00%
2021,11,7,LA Rams,71.43%
2021,11,7,Minnesota,50.00%
2021,11,7,Jacksonville,100.00%
2021,11,7,LA Chargers,100.00%
2021,11,7,Atlanta,100.00%
2021,11,7,Tennessee,100.00%
2021,11,7,Las Vegas,66.67%
2021,11,7,Miami,33.33%
2021,11,7,NY Jets,60.00%
2021,11,7,Green Bay,60.00%
2021,11,7,Buffalo,75.00%
2021,11,7,Kansas City,33.33%
2021,11,7,Carolina,33.33%
2021,11,7,Pittsburgh,50.00%
2021,11,7,Dallas,50.00%
2021,11,7,Cleveland,50.00%
2021,11,7,Chicago,33.33%
2021,11,7,Indianapolis,75.00%
2021,11,7,Denver,100.00%
2021,11,7,New England,25.00%
