year,month,day,team,scoring_margin
2021,11,21,Buffalo,+28.0
2021,11,21,New England,+25.0
2021,11,21,Dallas,+40.0
2021,11,21,Arizona,-24.0
2021,11,21,Tampa Bay,-10.0
2021,11,21,New Orleans,-2.0
2021,11,21,Tennessee,+2.0
2021,11,21,LA Rams,-21.0
2021,11,21,Indianapolis,+6.0
2021,11,21,Cincinnati,-25.0
2021,11,21,Green Bay,+17.0
2021,11,21,Philadelphia,+17.0
2021,11,21,Kansas City,+27.0
2021,11,21,Denver,-17.0
2021,11,21,Baltimore,-12.0
2021,11,21,Carolina,+24.0
2021,11,21,Minnesota,+7.0
2021,11,21,San Francisco,+21.0
2021,11,21,Seattle,-17.0
2021,11,21,Pittsburgh,0.0
2021,11,21,LA Chargers,-7.0
2021,11,21,Cleveland,-38.0
2021,11,21,Las Vegas,-27.0
2021,11,21,NY Giants,+7.0
2021,11,21,Washington,+10.0
2021,11,21,Miami,+12.0
2021,11,21,Chicago,-2.0
2021,11,21,Jacksonville,-6.0
2021,11,21,Atlanta,-25.0
2021,11,21,Detroit,0.0
2021,11,21,Houston,-8.0
2021,11,21,NY Jets,-28.0
2021,11,14,Buffalo,-3.0
2021,11,14,Arizona,+14.0
2021,11,14,Tampa Bay,-9.0
2021,11,14,LA Rams,-12.0
2021,11,14,New England,+18.0
2021,11,14,Dallas,-14.0
2021,11,14,New Orleans,-2.0
2021,11,14,Tennessee,+12.0
2021,11,14,Denver,+14.0
2021,11,14,Cincinnati,-25.0
2021,11,14,Indianapolis,+15.0
2021,11,14,Cleveland,+25.0
2021,11,14,Green Bay,-6.0
2021,11,14,Baltimore,-12.0
2021,11,14,Seattle,+24.0
2021,11,14,Philadelphia,-3.0
2021,11,14,Las Vegas,-7.0
2021,11,14,Minnesota,-3.0
2021,11,14,LA Chargers,+3.0
2021,11,14,Kansas City,+6.0
2021,11,14,Pittsburgh,+2.0
2021,11,14,Carolina,-18.0
2021,11,14,San Francisco,-14.0
2021,11,14,NY Giants,+7.0
2021,11,14,Atlanta,+2.0
2021,11,14,Miami,+12.0
2021,11,14,Chicago,-2.0
2021,11,14,Washington,-7.0
2021,11,14,Jacksonville,+3.0
2021,11,14,NY Jets,-15.0
2021,11,14,Detroit,-38.0
2021,11,14,Houston,-8.0
2021,11,7,Buffalo,+15.0
2021,11,7,Arizona,-3.0
2021,11,7,LA Rams,+16.0
2021,11,7,Tampa Bay,-9.0
2021,11,7,Dallas,+4.0
2021,11,7,Cincinnati,-3.0
2021,11,7,New Orleans,+9.0
2021,11,7,New England,+3.0
2021,11,7,Tennessee,+3.0
2021,11,7,Indianapolis,+15.0
2021,11,7,Baltimore,-24.0
2021,11,7,Green Bay,+3.0
2021,11,7,Denver,+7.0
2021,11,7,Las Vegas,+11.0
2021,11,7,Seattle,+24.0
2021,11,7,Philadelphia,+38.0
2021,11,7,Minnesota,-4.0
2021,11,7,Carolina,+6.0
2021,11,7,Cleveland,-5.0
2021,11,7,San Francisco,+11.0
2021,11,7,LA Chargers,-3.0
2021,11,7,Pittsburgh,+5.0
2021,11,7,Kansas City,+3.0
2021,11,7,NY Giants,-3.0
2021,11,7,Atlanta,-6.0
2021,11,7,Washington,-7.0
2021,11,7,Chicago,-11.0
2021,11,7,Jacksonville,-24.0
2021,11,7,Miami,-15.0
2021,11,7,NY Jets,-15.0
2021,11,7,Detroit,-38.0
2021,11,7,Houston,-16.0
2021,10,31,Buffalo,-3.0
2021,10,31,Arizona,-3.0
2021,10,31,Tampa Bay,+35.0
2021,10,31,Dallas,+6.0
2021,10,31,LA Rams,+9.0
2021,10,31,Cincinnati,+24.0
2021,10,31,New Orleans,+3.0
2021,10,31,New England,+41.0
2021,10,31,Tennessee,+24.0
2021,10,31,Baltimore,-24.0
2021,10,31,Green Bay,+3.0
2021,10,31,Indianapolis,+12.0
2021,10,31,Las Vegas,+11.0
2021,10,31,Denver,-3.0
2021,10,31,Minnesota,+6.0
2021,10,31,Cleveland,+3.0
2021,10,31,Carolina,-22.0
2021,10,31,LA Chargers,-28.0
2021,10,31,Seattle,-3.0
2021,10,31,Kansas City,-24.0
2021,10,31,San Francisco,-12.0
2021,10,31,Pittsburgh,+3.0
2021,10,31,Philadelphia,-11.0
2021,10,31,NY Giants,+22.0
2021,10,31,Atlanta,+2.0
2021,10,31,Chicago,-35.0
2021,10,31,Washington,-14.0
2021,10,31,Jacksonville,+3.0
2021,10,31,Detroit,-9.0
2021,10,31,Miami,-2.0
2021,10,31,Houston,-26.0
2021,10,31,NY Jets,-41.0
2021,10,24,Buffalo,-3.0
2021,10,24,Arizona,+23.0
2021,10,24,Dallas,+6.0
