year,month,day,team,rank
2021,11,14,Tampa Bay,327.5
2021,11,14,Las Vegas,305.1
2021,11,14,LA Rams,296.3
2021,11,14,Dallas,291.5
2021,11,14,LA Chargers,282.4
2021,11,14,Kansas City,281.0
2021,11,14,Buffalo,270.4
2021,11,14,Arizona,265.9
2021,11,14,Cincinnati,264.3
2021,11,14,Minnesota,260.3
2021,11,14,Baltimore,260.0
2021,11,14,Atlanta,257.6
2021,11,14,San Francisco,252.5
2021,11,14,NY Jets,251.8
2021,11,14,NY Giants,238.9
2021,11,14,New England,238.8
2021,11,14,Pittsburgh,235.8
2021,11,14,Indianapolis,233.7
2021,11,14,Denver,232.7
2021,11,14,Washington,230.5
2021,11,14,Miami,229.1
2021,11,14,Detroit,228.0
2021,11,14,Green Bay,223.8
2021,11,14,Jacksonville,221.4
2021,11,14,Cleveland,219.9
2021,11,14,Tennessee,217.9
2021,11,14,Seattle,211.1
2021,11,14,Philadelphia,209.6
2021,11,14,Carolina,208.2
2021,11,14,Houston,204.3
2021,11,14,New Orleans,191.6
2021,11,14,Chicago,144.1
2021,11,7,Tampa Bay,327.5
2021,11,7,Las Vegas,307.9
2021,11,7,Dallas,302.9
2021,11,7,LA Rams,301.8
2021,11,7,Kansas City,296.1
2021,11,7,Buffalo,276.3
2021,11,7,LA Chargers,271.9
2021,11,7,Minnesota,270.7
2021,11,7,Baltimore,268.1
2021,11,7,Arizona,264.9
2021,11,7,Cincinnati,264.5
2021,11,7,NY Giants,256.5
2021,11,7,New England,253.4
2021,11,7,NY Jets,251.8
2021,11,7,Atlanta,247.0
2021,11,7,San Francisco,246.0
2021,11,7,Pittsburgh,244.4
2021,11,7,Denver,234.6
2021,11,7,Indianapolis,233.7
2021,11,7,Jacksonville,233.1
2021,11,7,Washington,230.5
2021,11,7,Tennessee,229.5
2021,11,7,Green Bay,229.4
2021,11,7,Detroit,228.0
2021,11,7,Miami,223.3
2021,11,7,Cleveland,221.4
2021,11,7,Philadelphia,216.4
2021,11,7,Carolina,214.0
2021,11,7,Seattle,211.1
